1 1; 119.23
1 2; 120.35
1 4; 127.97
1 8; 132.13
1 16; 139.62
1 32; 233.18
1 48; 329.06
2 1; 121.54
2 2; 206.11
2 4; 405.85
2 8; 822.06
2 16; 1667.00
2 24; 2504.87
3 16; 433.31
4 1; 118.62
4 2; 129.26
4 4; 137.09
4 8; 225.07
4 12; 315.16
6 8; 313.06
8 1; 130.30
8 2; 135.34
8 4; 214.02
8 6; 313.55
12 4; 312.25
16 1; 135.76
16 2; 212.71
16 3; 313.45
24 2; 313.00
32 1; 0.15
48 1; 0.16
;








